Date,Time,Open ,High ,Low ,Close,Tickvol,Vol,Spread
5/27/2025,12:00:00 AM,162.541,162.613,162.327,162.553,22,0,74
5/27/2025,12:05:00 AM,162.533,162.559,162.375,162.524,46,0,201
5/27/2025,12:10:00 AM,162.524,162.536,162.496,162.5,54,0,210
5/27/2025,12:15:00 AM,162.5,162.5,162.447,162.465,114,0,158
5/27/2025,12:20:00 AM,162.465,162.51,162.458,162.47,132,0,159
5/27/2025,12:25:00 AM,162.47,162.486,162.467,162.468,100,0,168
5/27/2025,12:30:00 AM,162.468,162.513,162.468,162.499,82,0,152
5/27/2025,12:35:00 AM,162.499,162.51,162.462,162.508,97,0,125
5/27/2025,12:40:00 AM,162.508,162.519,162.489,162.494,110,0,106
5/27/2025,12:45:00 AM,162.495,162.495,162.455,162.455,38,0,109
5/27/2025,12:50:00 AM,162.455,162.469,162.455,162.466,43,0,120
5/27/2025,12:55:00 AM,162.466,162.466,162.452,162.461,19,0,121
5/27/2025,1:00:00 AM,162.467,162.596,162.467,162.56,327,0,20
5/27/2025,1:05:00 AM,162.559,162.586,162.532,162.565,169,0,20
5/27/2025,1:10:00 AM,162.549,162.561,162.518,162.542,132,0,20
5/27/2025,1:15:00 AM,162.541,162.587,162.534,162.579,174,0,20
5/27/2025,1:20:00 AM,162.579,162.581,162.543,162.543,189,0,20
5/27/2025,1:25:00 AM,162.543,162.548,162.524,162.544,128,0,20
5/27/2025,1:30:00 AM,162.544,162.546,162.517,162.519,136,0,20
5/27/2025,1:35:00 AM,162.519,162.532,162.501,162.511,121,0,20
5/27/2025,1:40:00 AM,162.512,162.538,162.504,162.511,190,0,20
5/27/2025,1:45:00 AM,162.511,162.517,162.494,162.495,120,0,20
5/27/2025,1:50:00 AM,162.494,162.535,162.494,162.529,141,0,20
5/27/2025,1:55:00 AM,162.529,162.535,162.509,162.515,181,0,20
5/27/2025,2:00:00 AM,162.513,162.528,162.511,162.516,180,0,20
5/27/2025,2:05:00 AM,162.516,162.531,162.498,162.521,95,0,20
5/27/2025,2:10:00 AM,162.521,162.526,162.506,162.524,145,0,20
5/27/2025,2:15:00 AM,162.524,162.552,162.516,162.536,151,0,20
5/27/2025,2:20:00 AM,162.536,162.551,162.526,162.543,114,0,20
5/27/2025,2:25:00 AM,162.544,162.554,162.528,162.548,193,0,20
5/27/2025,2:30:00 AM,162.548,162.548,162.526,162.526,211,0,20
5/27/2025,2:35:00 AM,162.526,162.532,162.511,162.515,189,0,20
5/27/2025,2:40:00 AM,162.514,162.515,162.446,162.462,206,0,20
5/27/2025,2:45:00 AM,162.462,162.48,162.432,162.432,177,0,20
5/27/2025,2:50:00 AM,162.433,162.447,162.413,162.437,230,0,20
5/27/2025,2:55:00 AM,162.437,162.462,162.428,162.428,240,0,20
5/27/2025,3:00:00 AM,162.416,162.419,162.346,162.352,510,0,20
5/27/2025,3:05:00 AM,162.354,162.376,162.282,162.298,503,0,20
5/27/2025,3:10:00 AM,162.297,162.334,162.265,162.303,479,0,20
5/27/2025,3:15:00 AM,162.303,162.326,162.269,162.311,460,0,20
5/27/2025,3:20:00 AM,162.311,162.314,162.226,162.242,404,0,20
5/27/2025,3:25:00 AM,162.242,162.289,162.224,162.282,325,0,20
5/27/2025,3:30:00 AM,162.283,162.307,162.255,162.261,332,0,20
5/27/2025,3:35:00 AM,162.263,162.289,162.236,162.236,335,0,20
5/27/2025,3:40:00 AM,162.236,162.248,162.189,162.221,375,0,20
5/27/2025,3:45:00 AM,162.219,162.24,162.204,162.24,335,0,20
5/27/2025,3:50:00 AM,162.24,162.273,162.174,162.272,636,0,20
5/27/2025,3:55:00 AM,162.273,162.276,162.181,162.19,471,0,20
5/27/2025,4:00:00 AM,162.19,162.192,162.129,162.13,535,0,20
5/27/2025,4:05:00 AM,162.129,162.187,162.128,162.184,428,0,20
5/27/2025,4:10:00 AM,162.186,162.192,162.16,162.176,401,0,20
5/27/2025,4:15:00 AM,162.176,162.19,162.1,162.14,396,0,20
5/27/2025,4:20:00 AM,162.14,162.141,162.104,162.109,286,0,20
5/27/2025,4:25:00 AM,162.109,162.145,162.084,162.114,320,0,20
5/27/2025,4:30:00 AM,162.114,162.174,162.106,162.139,435,0,20
5/27/2025,4:35:00 AM,162.138,162.197,162.135,162.189,354,0,20
5/27/2025,4:40:00 AM,162.188,162.248,162.161,162.189,473,0,20
5/27/2025,4:45:00 AM,162.189,162.208,162.162,162.177,440,0,20
5/27/2025,4:50:00 AM,162.176,162.18,162.131,162.142,407,0,20
5/27/2025,4:55:00 AM,162.143,162.158,162.128,162.13,290,0,20
